product_id,ndc,label_name,generic_name,type,status,pricing_per_unit,blacklisted,source_package_size,strength,breakable,tier_units_threshold,gpi
a5ba457e-85f7-4251-91f4-4b0e4370bdc8,27808010201,DYANAVEL XR 2.5MG/ML SUER,AMPHETAMINE,Brand,deactivated,NULL,NULL,464,2.5,FALSE,NULL,6110001000G120
81418a89-4475-4ff0-948f-a1754c79dd3d,70165000530,ADZENYS XR-ODT 3.1MG TBED,AMPHETAMINE,Brand,deactivated,NULL,NULL,30,3.1,TRUE,NULL,6110001000H410
c16e4569-dcd9-45c8-aa43-c210bd16308f,70165001030,ADZENYS XR-ODT 6.3MG TBED,AMPHETAMINE,Brand,deactivated,NULL,NULL,30,6.3,TRUE,NULL,6110001000H420
3c815457-30fc-45ef-8676-c7135c0832d8,70165001530,ADZENYS XR-ODT 9.4MG TBED,AMPHETAMINE,Brand,deactivated,NULL,NULL,30,9.4,TRUE,NULL,6110001000H430
86eaedfe-5065-40a7-a48b-11275c91b293,70165002030,ADZENYS XR-ODT 12.5MG TBED,AMPHETAMINE,Brand,deactivated,NULL,NULL,30,12.5,TRUE,NULL,6110001000H440
9a12a9ea-2a6b-4bac-88e6-f6b9990a753d,70165002530,ADZENYS XR-ODT 15.7MG TBED,AMPHETAMINE,Brand,deactivated,NULL,NULL,30,15.7,TRUE,NULL,6110001000H450
01fd012f-3cfd-4055-9ee9-dd34dddfa7a9,70165003030,ADZENYS XR-ODT 18.8MG TBED,AMPHETAMINE,Brand,deactivated,NULL,NULL,30,18.8,TRUE,NULL,6110001000H460
0d0e74a9-17e9-433c-bc49-841c6fbc0bc6,406121901,AMPHETAMINE SULFATE 5MG TABS,AMPHETAMINE SULFATE,Generic,inactive,NULL,NULL,100,5,FALSE,NULL,61100010100310
cc947199-c69f-47d8-8274-153e2d0f2aad,63629207901,AMPHETAMINE SULFATE 5MG TABS,AMPHETAMINE SULFATE,Generic,inactive,NULL,NULL,100,5,FALSE,NULL,61100010100310
85016171-6d14-4934-a847-e54599671c63,24338002203,EVEKEO 5MG TABS,AMPHETAMINE SULFATE,Brand,inactive,NULL,NULL,30,5,FALSE,NULL,61100010100310
6b0630b3-4d60-4e73-96ad-dc0a81060f23,52536005703,AMPHETAMINE SULFATE 5MG TABS,AMPHETAMINE SULFATE,Generic,inactive,NULL,NULL,30,5,FALSE,NULL,61100010100310
c4aeb3df-f347-48da-9c27-09dd0b7e53b6,57664006288,AMPHETAMINE SULFATE 5MG TABS,AMPHETAMINE SULFATE,Generic,inactive,NULL,NULL,100,5,FALSE,NULL,61100010100310
